sample_a,sample_b,pair_type,similarity
杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,same,0.900532
杨戴/伤逝__chunk001,杨戴/伤逝__chunk003,same,0.886638
杨戴/伤逝__chunk001,杨戴/伤逝__chunk004,same,0.863048
杨戴/伤逝__chunk001,杨戴/伤逝__chunk005,same,0.878624
杨戴/伤逝__chunk001,杨戴/伤逝__chunk006,same,0.863784
杨戴/伤逝__chunk001,杨戴/伤逝__chunk007,same,0.865603
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk001,same,0.892438
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk002,same,0.875643
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk003,same,0.876617
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk004,same,0.868716
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk005,same,0.830033
杨戴/伤逝__chunk001,杨戴/奔月__chunk001,same,0.842040
杨戴/伤逝__chunk001,杨戴/奔月__chunk002,same,0.790088
杨戴/伤逝__chunk001,杨戴/奔月__chunk003,same,0.759636
杨戴/伤逝__chunk001,杨戴/奔月__chunk004,same,0.805602
杨戴/伤逝__chunk001,杨戴/孤独者__chunk001,same,0.839077
杨戴/伤逝__chunk001,杨戴/孤独者__chunk002,same,0.832173
杨戴/伤逝__chunk001,杨戴/孤独者__chunk003,same,0.847261
杨戴/伤逝__chunk001,杨戴/孤独者__chunk004,same,0.823486
杨戴/伤逝__chunk001,杨戴/孤独者__chunk005,same,0.867275
杨戴/伤逝__chunk001,杨戴/孤独者__chunk006,same,0.814305
杨戴/伤逝__chunk001,杨戴/孤独者__chunk007,same,0.819150
杨戴/伤逝__chunk001,杨戴/孤独者__chunk008,same,0.795527
杨戴/伤逝__chunk001,杨戴/幸福的家庭__chunk001,same,0.790116
杨戴/伤逝__chunk001,杨戴/幸福的家庭__chunk002,same,0.835852
杨戴/伤逝__chunk001,杨戴/幸福的家庭__chunk003,same,0.810560
杨戴/伤逝__chunk001,杨戴/故乡__chunk001,same,0.866850
杨戴/伤逝__chunk001,杨戴/故乡__chunk002,same,0.871622
杨戴/伤逝__chunk001,杨戴/故乡__chunk003,same,0.810125
杨戴/伤逝__chunk001,杨戴/故乡__chunk004,same,0.861194
杨戴/伤逝__chunk001,杨戴/明天__chunk001,same,0.804812
杨戴/伤逝__chunk001,杨戴/明天__chunk002,same,0.821357
杨戴/伤逝__chunk001,杨戴/明天__chunk003,same,0.775975
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk001,same,0.878308
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk002,same,0.837125
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk003,same,0.782049
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk004,same,0.849783
杨戴/伤逝__chunk001,杨戴/社戏__chunk001,same,0.880111
杨戴/伤逝__chunk001,杨戴/社戏__chunk002,same,0.884098
杨戴/伤逝__chunk001,杨戴/社戏__chunk003,same,0.863297
杨戴/伤逝__chunk001,杨戴/社戏__chunk004,same,0.868122
杨戴/伤逝__chunk001,杨戴/祝福__chunk001,same,0.903545
杨戴/伤逝__chunk001,杨戴/祝福__chunk002,same,0.855655
杨戴/伤逝__chunk001,杨戴/祝福__chunk003,same,0.823845
杨戴/伤逝__chunk001,杨戴/祝福__chunk004,same,0.824296
杨戴/伤逝__chunk001,杨戴/祝福__chunk005,same,0.863347
杨戴/伤逝__chunk001,杨戴/祝福__chunk006,same,0.832543
杨戴/伤逝__chunk001,杨戴/祝福__chunk007,same,0.834553
杨戴/伤逝__chunk001,杨戴/离婚__chunk001,same,0.795988
杨戴/伤逝__chunk001,杨戴/离婚__chunk002,same,0.813223
